Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32033,7391,2,23/03/2016 0:00,,
32034,7392,2,23/03/2016 0:00,,
32035,7389,2,23/03/2016 0:00,,
32036,7388,2,23/03/2016 0:00,,
32037,7352,2,23/03/2016 0:00,,
32038,7348,2,23/03/2016 0:00,,
32039,7330,2,23/03/2016 0:00,,
32040,390,2,23/03/2016 0:00,,
32041,378,2,23/03/2016 0:00,,
32042,1348,2,23/03/2016 0:00,,
32043,385,2,23/03/2016 0:00,,
32044,358,2,23/03/2016 0:00,,
32045,362,2,23/03/2016 0:00,,
32046,299,2,23/03/2016 0:00,,
32047,394,2,23/03/2016 0:00,,
32048,1867,2,23/03/2016 0:00,,
32049,4825,2,23/03/2016 0:00,,
32050,4827,2,23/03/2016 0:00,,
32051,7389,2,23/03/2016 0:00,,
32052,7382,2,23/03/2016 0:00,,
32053,7394,2,23/03/2016 0:00,,
32054,7393,2,23/03/2016 0:00,,
32055,7390,2,23/03/2016 0:00,,
32056,7388,2,23/03/2016 0:00,,
32057,7397,5,23/03/2016 0:00,1834,
32058,92,2,23/03/2016 0:00,,
32059,318,2,23/03/2016 0:00,,
32060,566,2,23/03/2016 0:00,,
32061,7398,2,23/03/2016 0:00,,
32062,7396,2,23/03/2016 0:00,,
32063,7196,5,24/03/2016 0:00,1652,
32064,7399,2,24/03/2016 0:00,,
32065,7087,2,24/03/2016 0:00,,
32066,7084,2,24/03/2016 0:00,,
32068,7373,1,24/03/2016 0:00,,
32069,7368,15,24/03/2016 0:00,,
32070,7368,10,24/03/2016 0:00,,
32071,7328,1,24/03/2016 0:00,,
32072,7390,5,24/03/2016 0:00,10662,
32073,1951,5,24/03/2016 0:00,10662,
32074,4802,5,24/03/2016 0:00,10662,
32075,4243,2,24/03/2016 0:00,,
32076,7369,5,24/03/2016 0:00,10710,
32077,2034,2,24/03/2016 0:00,,
32078,2031,5,24/03/2016 0:00,10711,
32079,2031,2,24/03/2016 0:00,,
32080,6800,5,24/03/2016 0:00,10662,
32081,4088,16,24/03/2016 0:00,,
32082,7402,2,24/03/2016 0:00,,
32083,1679,2,25/03/2016 0:00,,
32084,7403,2,25/03/2016 0:00,,
32085,7383,2,25/03/2016 0:00,,
32086,7404,2,25/03/2016 0:00,,
32087,7403,2,25/03/2016 0:00,,
32088,7362,2,25/03/2016 0:00,,
32089,7362,5,25/03/2016 0:00,147,
32090,7403,2,25/03/2016 0:00,,
32091,7403,2,25/03/2016 0:00,,
32092,7361,2,25/03/2016 0:00,,
32093,7355,2,25/03/2016 0:00,,
32094,7356,2,25/03/2016 0:00,,
32095,6225,2,25/03/2016 0:00,,
32096,6225,5,25/03/2016 0:00,90,
32097,7409,2,25/03/2016 0:00,,
32098,7412,2,25/03/2016 0:00,,
32099,7404,2,25/03/2016 0:00,,
32100,1256,2,25/03/2016 0:00,,
32101,7406,2,25/03/2016 0:00,,
32102,7408,2,25/03/2016 0:00,,
32103,7404,2,26/03/2016 0:00,,
32104,7402,2,26/03/2016 0:00,,
32105,7401,2,26/03/2016 0:00,,
32106,7292,2,26/03/2016 0:00,,
32107,7296,2,26/03/2016 0:00,,
32108,7291,2,26/03/2016 0:00,,
32109,4662,5,26/03/2016 0:00,10735,
32110,7412,2,26/03/2016 0:00,,
32111,7411,2,26/03/2016 0:00,,
32112,7408,2,26/03/2016 0:00,,
32113,562,2,26/03/2016 0:00,,
32114,7401,2,26/03/2016 0:00,,
32116,7386,5,27/03/2016 0:00,5742,
32117,102,2,27/03/2016 0:00,,
32118,2120,2,27/03/2016 0:00,,
32119,7112,2,27/03/2016 0:00,,
32120,7412,2,27/03/2016 0:00,,
32121,7412,5,27/03/2016 0:00,90,
32122,7331,2,27/03/2016 0:00,,
32123,7409,2,27/03/2016 0:00,,
32124,7416,3,27/03/2016 0:00,,
32125,3984,2,27/03/2016 0:00,,
32126,1560,2,27/03/2016 0:00,,
32127,7292,2,27/03/2016 0:00,,
32128,7416,2,27/03/2016 0:00,,
32129,6701,2,27/03/2016 0:00,,
32130,7402,2,27/03/2016 0:00,,
32132,7416,2,27/03/2016 0:00,,
32133,3845,5,27/03/2016 0:00,3341,
32134,553,2,27/03/2016 0:00,,
32135,3913,5,27/03/2016 0:00,3341,
32136,5220,5,27/03/2016 0:00,3341,
32137,7418,2,27/03/2016 0:00,,
32138,7417,2,27/03/2016 0:00,,
32139,7416,2,27/03/2016 0:00,,
32140,7414,2,27/03/2016 0:00,,
32141,7415,2,27/03/2016 0:00,,
32142,7400,2,27/03/2016 0:00,,
32143,7407,2,27/03/2016 0:00,,
32144,7357,2,27/03/2016 0:00,,
32145,7353,2,27/03/2016 0:00,,
32146,7088,2,27/03/2016 0:00,,
32147,7026,2,27/03/2016 0:00,,
32148,7408,2,27/03/2016 0:00,,
32149,7419,2,27/03/2016 0:00,,
32150,7420,2,27/03/2016 0:00,,
32151,7087,2,27/03/2016 0:00,,
32152,4231,2,27/03/2016 0:00,,
32153,7418,2,28/03/2016 0:00,,
32154,7420,2,28/03/2016 0:00,,
32155,7423,2,28/03/2016 0:00,,
32156,7415,5,28/03/2016 0:00,3856,
32157,7412,5,28/03/2016 0:00,3856,
32158,7421,10,28/03/2016 0:00,,
32159,7418,2,28/03/2016 0:00,,
32160,7280,2,28/03/2016 0:00,,
32161,7378,2,28/03/2016 0:00,,
32162,7424,2,28/03/2016 0:00,,
32163,7426,2,28/03/2016 0:00,,
32164,7422,2,28/03/2016 0:00,,
32165,7417,2,28/03/2016 0:00,,
32166,7422,5,28/03/2016 0:00,958,
