Id,PostId,VoteTypeId,CreationDate,UserId
6392,1463,2,1390435200,
6393,1458,2,1390435200,
6394,1448,2,1390435200,
6395,1448,5,1390435200,1762
6396,1450,2,1390435200,
6397,1449,2,1390435200,
6398,294,2,1390435200,
6399,1440,2,1390435200,
6400,1208,5,1390435200,1762
6401,1208,2,1390435200,
6402,1210,2,1390435200,
6403,1301,2,1390435200,
6404,1352,2,1390435200,
6405,1350,2,1390435200,
6406,1464,2,1390435200,
6407,1464,16,1390435200,
6408,1210,2,1390435200,
6409,1208,2,1390435200,
6410,1459,2,1390435200,
6411,857,2,1390435200,
6412,858,2,1390435200,
6413,859,2,1390435200,
6414,518,16,1390435200,
6415,857,16,1390435200,
6416,694,2,1390435200,
6417,694,16,1390435200,
6418,273,2,1390435200,
6419,266,2,1390435200,
6420,439,16,1390521600,
6421,439,2,1390521600,
6422,439,5,1390521600,90
6423,294,2,1390521600,
6424,1467,2,1390521600,
6425,518,2,1390521600,
6426,1334,2,1390608000,
6427,1469,2,1390608000,
6428,1470,15,1390608000,
6429,1470,2,1390608000,
6430,862,2,1390608000,
6431,870,2,1390608000,
6432,1470,2,1390608000,
6433,1473,2,1390694400,
6434,1473,2,1390780800,
6435,1474,2,1390780800,
6436,1468,3,1390780800,
6437,1473,3,1390780800,
6438,433,2,1390780800,
6439,436,2,1390780800,
6440,125,16,1390780800,
6443,1477,2,1390867200,
6444,1448,5,1390867200,1857
6445,1429,5,1390867200,1857
6446,1142,5,1390867200,1857
6447,133,5,1390867200,1862
6448,1440,5,1390867200,1866
6450,863,2,1390867200,
6451,1478,2,1390867200,
6452,1478,2,1390953600,
6453,562,5,1390953600,1870
6454,562,2,1390953600,
6455,734,2,1390953600,
6456,734,16,1390953600,
6457,1479,2,1390953600,
6494,972,2,1390953600,
6495,1104,2,1390953600,
6496,133,2,1390953600,
6497,1483,2,1391040000,
6498,1482,5,1391040000,1384
6499,1482,2,1391040000,
6500,1483,2,1391040000,
6501,1483,2,1391040000,
6502,1482,2,1391040000,
6503,1482,16,1391040000,
6544,1482,2,1391126400,
6545,1482,5,1391126400,1762
6546,1483,2,1391126400,
6547,1479,2,1391126400,
6548,1484,3,1391126400,
6549,1484,3,1391126400,
6550,1484,3,1391126400,
6551,1484,3,1391126400,
6552,1484,3,1391126400,
6553,1484,3,1391126400,
6554,1484,12,1391126400,
6555,1484,10,1391126400,
6556,133,5,1391126400,1154
6559,125,2,1391126400,
6560,638,5,1391126400,922
6561,638,2,1391126400,
6562,1479,2,1391212800,
6563,477,2,1391212800,
6564,1482,5,1391212800,505
6565,1259,2,1391299200,
6566,1256,2,1391299200,
6567,1256,5,1391299200,1900
6568,1259,2,1391299200,
6575,676,2,1391385600,
6576,688,2,1391385600,
6577,1485,2,1391385600,
6578,1486,2,1391472000,
6579,477,5,1391472000,505
6580,199,2,1391472000,
6581,1474,2,1391472000,
6582,614,2,1391558400,
6583,1488,16,1391558400,
6584,1489,2,1391558400,
6585,1490,2,1391558400,
6586,1488,2,1391558400,
6587,1489,2,1391558400,
6588,562,2,1391644800,
6589,734,2,1391644800,
6591,1491,2,1391644800,
6592,1492,5,1391644800,1917
6593,384,16,1391644800,
6594,1338,16,1391644800,
6595,662,16,1391644800,
6596,1491,2,1391644800,
6597,1492,2,1391644800,
6598,1492,2,1391644800,
6599,1508,16,1391644800,
6600,666,16,1391644800,
6601,1504,16,1391644800,
6602,1496,16,1391644800,
6603,1494,16,1391644800,
6604,664,16,1391644800,
6605,1506,16,1391644800,
6606,400,16,1391644800,
6607,1502,16,1391644800,
6608,241,16,1391644800,
6609,1498,16,1391644800,
6610,1500,16,1391644800,
6611,401,16,1391644800,
6612,477,2,1391731200,
6613,477,5,1391731200,1874
6614,1480,1,1391731200,
6615,1480,2,1391731200,
6616,1208,2,1391731200,
6617,1208,5,1391731200,90
6618,1359,2,1391731200,
6619,415,2,1391731200,
6620,415,5,1391731200,90
6621,1509,2,1391731200,
6622,90,16,1391817600,
6623,1513,2,1391817600,
6624,1513,2,1391817600,
6625,297,5,1391817600,917
6626,297,2,1391817600,
6627,1519,2,1391904000,
6628,1517,2,1391904000,
6629,1522,2,1391904000,
6630,1515,2,1391904000,
6631,1522,2,1391990400,
6632,1517,2,1391990400,
6634,1521,2,1391990400,
6635,1520,2,1391990400,
6636,1512,2,1391990400,
6637,562,2,1391990400,
6638,1267,2,1391990400,
6639,1517,5,1391990400,1931
6640,1524,2,1391990400,
6641,1528,2,1391990400,
6642,1527,2,1391990400,
6644,1509,2,1392076800,
6645,365,5,1392076800,1956
6646,1527,2,1392076800,
6648,1531,2,1392076800,
6649,1530,2,1392076800,
6651,1532,2,1392076800,
6652,1532,1,1392076800,
6653,1233,2,1392076800,
6654,1533,2,1392076800,
6655,691,2,1392076800,
6656,1534,2,1392076800,
6657,1532,2,1392076800,
6658,443,2,1392163200,
6659,499,2,1392163200,
6660,1534,2,1392163200,
6661,1524,2,1392163200,
6662,1530,2,1392163200,
